ID,timestamp,AccumulatedSystemLoad,AccumulatedSystemPowerIn,Amperage,ChargeAccum,CurrentCapacity,ITMiscStatus,InstantAmperage,IsCharging,MiscStatus,PresentDOD0,RSS,ResScale,StateOfCharge,SystemCurrentIn,SystemVoltageIn,Temperature,VirtualTemperature,Voltage,Watts,CellVoltage2,CellVoltage1,CellVoltage0
1,1766708276.821166,852941,1834697,1055,-820,18,22530,592,1,,13580,91,1000,18,600,13789,3329,3200,3861,15,,,
2,1766708577.0672112,1758203,3643304,823,-889,20,22530,965,1,,13308,86,1000,19,525,12495,3400,3329,3843,0,,,
3,1766709176.647989,3872490,5940047,-945,-901,20,22530,-623,0,,13260,76,1000,19,0,0,3589,3579,3787,0,,,
4,1766709477.4661112,4814250,5940047,-842,-826,17,22528,-791,0,,13553,89,689,16,0,0,3319,3319,3662,0,,,
5,1766709776.777004,5698660,5940047,-172,-756,15,22535,-208,0,,13831,83,1010,16,0,0,3369,3379,3689,0,,,
6,1766710377.285972,6161657,5940047,-576,-719,14,22535,-604,0,,13977,96,872,13,0,0,3119,3059,3636,0,,,
7,1766710730.1498842,6516492,5940047,-31,-691,13,22534,-67,0,,14087,94,962,14,0,0,3050,3059,3695,0,,,
8,1766710977.159594,7103312,9024492,3815,-872,19,22534,3927,1,,13375,104,1000,19,2162,8329,3729,3029,4033,20,,,
9,1766711277.275073,7833869,14215827,3878,-1190,28,22534,3904,1,,12122,82,1000,27,2161,8331,3989,3279,4069,20,,,
10,1766711577.294908,8469219,19406258,3855,-1511,36,22534,3865,1,,10853,79,1000,35,2137,8352,4179,3489,4097,20,,,
11,1766711876.7544413,8875932,22713874,2483,-1718,41,22534,2540,1,,10038,65,1000,41,1307,8614,3750,3559,3976,20,,,
12,1766712177.2814012,9199520,25499161,3004,-1893,46,22534,3041,1,,9347,65,1000,45,1544,8539,3750,3459,4035,20,,,
13,1766712477.280112,9440118,27802185,2505,-2041,50,22534,2544,1,,8767,69,1000,49,1342,8611,3589,3369,4039,20,,,
14,1766712791.772279,9613880,29138626,-13,-2123,52,22534,-8,0,,8444,71,1000,51,0,0,3269,3279,3929,0,,,
15,1766714609.731214,9990950,29456874,-19,-2117,53,22534,-12,0,,8464,107,1000,52,0,0,2389,2389,3889,0,,,
16,1766715776.911005,10810343,29456874,-317,-2054,51,22532,-376,0,,8713,88,1202,50,0,0,2839,2819,3749,0,,,
17,1766719383.222268,11663106,29456874,-114,-1990,50,22534,-168,0,,8966,85,1137,48,0,0,2939,2939,3834,0,,,
18,1766720303.960072,12188182,29456874,-18,-1950,49,22533,-31,0,,9124,75,1132,47,0,0,3200,3209,3836,0,,,
19,1766721321.0985641,12518300,29456874,-12,-1925,48,22532,-8,0,,9222,86,1049,47,0,0,2869,2869,3834,0,,,
20,1766722384.5732832,12905776,29456874,-15,-1896,47,22532,-10,0,,9337,82,1187,46,0,0,2929,2939,3819,0,,,
21,1766724476.9562612,13714597,29456874,-427,-1834,46,22533,-498,0,,9581,82,1243,44,0,0,2939,2919,3784,0,,,
22,1766725076.55793,14177364,29456874,-287,-1799,45,22537,-297,0,,9719,78,1140,43,0,0,3169,3129,3798,0,,,
23,1766725376.9534192,14575661,29456874,-339,-1768,44,22539,-198,0,,9840,77,1319,42,0,0,3179,3179,3796,0,,,
24,1766725676.672872,14995622,29456874,-154,-1737,43,22538,-109,0,,9966,80,1283,41,0,0,3159,3139,3792,0,,,
25,1766726276.3843932,15667888,29456874,-203,-1685,42,22539,-186,0,,10168,82,1242,40,0,0,3069,3069,3788,0,,,
26,1766726596.574994,15943002,29456874,-21,-1664,41,22536,-50,0,,10252,83,1198,40,0,0,3069,3069,3794,0,,,
27,1766727176.954628,16492136,29456874,-300,-1622,39,22537,-296,0,,10574,93,1051,37,0,0,2989,2979,3784,0,,,
28,1766727476.929202,16760361,29456874,-232,-1601,38,22537,-234,0,,10699,93,998,37,0,0,3019,3019,3780,0,,,
29,1766727776.94822,17046270,29456874,-449,-1579,37,22537,-263,0,,10828,92,963,36,0,0,3079,3079,3775,0,,,
30,1766728397.754829,17618766,29456874,-14,-1536,35,22536,-11,0,,11113,90,993,34,0,0,3100,3100,3785,0,,,
31,1766729377.7990098,18460398,29456874,-411,-1471,34,22538,-352,0,,11238,95,1120,33,0,0,2979,2979,3764,0,,,
32,1766729686.723431,18505175,29456874,-46,-1468,33,22538,-30,0,,11483,113,941,32,0,0,2579,2600,3773,0,,,
33,1766737531.16066,19275956,29456874,-18,-1410,32,22539,-19,0,,11626,185,586,31,0,0,1819,1819,3787,0,,,
34,1766744322.6726081,20094762,29456874,-230,-1350,31,22539,-260,0,,11757,186,611,30,0,0,1850,1850,3750,0,,,
35,1766751632.395355,20759291,29456874,-34,-1300,30,22539,-30,0,,11891,193,605,29,0,0,1839,1839,3748,0,,,
36,1766756074.791084,21181343,29456874,-101,-1268,29,22539,-58,0,,12017,194,741,29,0,0,1859,1859,3749,0,,,
37,1766761077.119302,21936386,29456874,-191,-1209,27,22543,-174,0,,12176,130,1183,27,0,0,2419,2400,3730,0,,,
38,1766761677.051929,22568790,29456874,-286,-1160,25,22541,-279,0,,12368,111,1113,25,0,0,2700,2700,3727,0,,,
39,1766761977.1133242,23110699,29456874,-376,-1116,23,22540,-345,0,,12473,106,1058,24,0,0,2829,2800,3742,0,,,
40,1766763183.238131,24143128,29456874,-19,-1036,22,22543,-9,0,,12859,96,1150,22,0,0,2989,2989,3732,0,,,
41,1766763484.954176,24189359,29456874,-12,-1032,21,22543,-8,0,,13142,101,1050,21,0,0,3019,3019,3737,0,,,
42,1766765714.746886,24837790,29456874,-57,-981,20,22541,-64,0,,13018,112,974,21,0,0,2729,2750,3729,0,,,
43,1766767076.598516,25371853,30654664,2228,-1029,23,22543,2231,1,,12755,106,1000,23,695,13930,3000,2739,3934,15,,,
44,1766767466.805213,25676705,33352481,2222,-1199,28,22543,2224,1,,12084,96,1000,27,697,13918,3200,2939,3960,15,,,
45,1766767695.2324982,25968700,35943669,2216,-1362,32,22543,2197,1,,11443,93,1000,32,699,13919,3379,3109,3960,15,,,
46,1766767976.7910943,26618906,38905964,1528,-1532,36,22543,1422,1,,10772,83,1000,36,600,13837,3500,3350,3931,15,,,
47,1766768276.871021,27240941,41057191,1290,-1647,39,22543,1283,1,,10319,71,1000,39,526,13921,3639,3519,3924,15,,,
48,1766768612.153959,27668499,42284685,-19,-1707,41,22541,-17,0,,10083,70,1000,41,0,0,3469,3489,3816,0,,,
49,1766769776.752285,28910330,42284685,-1004,-1612,40,22542,-895,0,,10456,112,1078,38,0,0,2509,2519,3749,0,,,
50,1766770076.788891,29511355,42284685,-342,-1565,38,22529,-355,0,,10640,109,1219,37,0,0,2689,2679,3755,0,,,
51,1766770376.918942,30013963,42284685,-415,-1527,37,22534,-384,0,,10792,104,1092,36,0,0,2909,2900,3760,0,,,
52,1766770676.918182,30536220,42284685,-484,-1487,36,22536,-496,0,,10951,97,1094,34,0,0,3139,3129,3764,0,,,
53,1766770976.689068,31031701,42284685,-334,-1448,35,22541,-321,0,,11102,90,1072,34,0,0,3309,3300,3748,0,,,
54,1766771277.253987,31573055,42284685,-576,-1407,34,22530,-477,0,,11266,86,1085,32,0,0,3409,3409,3756,0,,,
55,1766771576.544414,32173876,42284685,-513,-1360,32,22535,-456,0,,11449,95,1123,31,0,0,3209,3209,3742,0,,,
